Step 0 | Loss: 1.08 | Accuracy: 42.19%
Step 0 | Loss: 1.08 | Accuracy: 42.58%
Step 0 | Loss: 1.08 | Accuracy: 41.80%
Step 0 | Loss: 1.13 | Accuracy: 41.99%
Step 0 | Loss: 1.14 | Accuracy: 36.13%
Step 0 | Loss: 1.12 | Accuracy: 36.91%
Step 0 | Loss: 1.28 | Accuracy: 23.24%
Step 0 | Loss: 1.12 | Accuracy: 31.05%
Step 0 | Loss: 1.11 | Accuracy: 34.18%
Step 0 | Loss: 1.12 | Accuracy: 33.40%
Step 0 | Loss: 1.10 | Accuracy: 30.86%
Step 0 | Loss: 1.11 | Accuracy: 34.18%
Step 0 | Loss: 1.10 | Accuracy: 42.19%
Step 0 | Loss: 1.11 | Accuracy: 41.60%
Step 0 | Loss: 1.11 | Accuracy: 39.26%
Step 1 | Loss: 1.09 | Accuracy: 40.04%
Step 1 | Loss: 1.09 | Accuracy: 43.36%
Step 1 | Loss: 1.09 | Accuracy: 41.41%
Step 1 | Loss: 1.09 | Accuracy: 40.43%
Step 1 | Loss: 1.08 | Accuracy: 43.95%
Step 1 | Loss: 1.10 | Accuracy: 40.23%
Step 1 | Loss: 1.09 | Accuracy: 38.28%
Step 1 | Loss: 1.09 | Accuracy: 43.16%
Step 1 | Loss: 1.08 | Accuracy: 41.41%
Step 1 | Loss: 1.09 | Accuracy: 42.19%
Step 1 | Loss: 1.09 | Accuracy: 44.73%
Step 1 | Loss: 1.08 | Accuracy: 42.19%
Step 1 | Loss: 1.08 | Accuracy: 44.92%
Step 1 | Loss: 1.09 | Accuracy: 45.90%
Step 1 | Loss: 1.09 | Accuracy: 40.62%
Step 1 | Loss: 1.09 | Accuracy: 42.77%
Step 2 | Loss: 1.09 | Accuracy: 41.99%
Step 2 | Loss: 1.10 | Accuracy: 42.58%
Step 2 | Loss: 1.08 | Accuracy: 43.95%
Step 2 | Loss: 1.11 | Accuracy: 39.06%
Step 2 | Loss: 1.09 | Accuracy: 37.70%
Step 2 | Loss: 1.09 | Accuracy: 43.16%
Step 2 | Loss: 1.09 | Accuracy: 40.62%
Step 2 | Loss: 1.08 | Accuracy: 42.97%
Step 2 | Loss: 1.10 | Accuracy: 42.38%
Step 2 | Loss: 1.09 | Accuracy: 40.23%
Step 2 | Loss: 1.08 | Accuracy: 40.62%
Step 2 | Loss: 1.09 | Accuracy: 41.99%
Step 2 | Loss: 1.10 | Accuracy: 39.26%
Step 2 | Loss: 1.10 | Accuracy: 46.68%
Step 2 | Loss: 1.08 | Accuracy: 41.99%
Step 2 | Loss: 1.09 | Accuracy: 40.43%
Step 3 | Loss: 1.10 | Accuracy: 41.21%
Step 3 | Loss: 1.09 | Accuracy: 43.95%
Step 3 | Loss: 1.08 | Accuracy: 41.02%
Step 3 | Loss: 1.08 | Accuracy: 43.55%
Step 3 | Loss: 1.11 | Accuracy: 39.84%
Step 3 | Loss: 1.10 | Accuracy: 41.41%
Step 3 | Loss: 1.09 | Accuracy: 42.58%
Step 3 | Loss: 1.09 | Accuracy: 40.04%
Step 3 | Loss: 1.08 | Accuracy: 43.55%
Step 3 | Loss: 1.10 | Accuracy: 40.43%
Step 3 | Loss: 1.11 | Accuracy: 39.84%
Step 3 | Loss: 1.09 | Accuracy: 41.99%
Step 3 | Loss: 1.09 | Accuracy: 40.23%
Step 3 | Loss: 1.08 | Accuracy: 44.73%
Step 3 | Loss: 1.08 | Accuracy: 45.51%
Step 3 | Loss: 1.11 | Accuracy: 38.28%
Step 4 | Loss: 1.13 | Accuracy: 42.77%
Step 4 | Loss: 1.09 | Accuracy: 38.87%
Step 4 | Loss: 1.08 | Accuracy: 46.09%
Step 4 | Loss: 1.08 | Accuracy: 43.75%
Step 4 | Loss: 1.08 | Accuracy: 42.97%
Step 4 | Loss: 1.10 | Accuracy: 44.34%
Step 4 | Loss: 1.10 | Accuracy: 44.34%
Step 4 | Loss: 1.08 | Accuracy: 42.19%
Step 4 | Loss: 1.10 | Accuracy: 43.95%
Step 4 | Loss: 1.09 | Accuracy: 38.28%
Step 4 | Loss: 1.10 | Accuracy: 44.73%
Step 4 | Loss: 1.08 | Accuracy: 45.12%
Step 4 | Loss: 1.08 | Accuracy: 45.51%
Step 4 | Loss: 1.09 | Accuracy: 41.21%
Step 4 | Loss: 1.09 | Accuracy: 43.75%
Step 4 | Loss: 1.11 | Accuracy: 40.82%
Step 5 | Loss: 1.08 | Accuracy: 45.51%
Step 5 | Loss: 1.10 | Accuracy: 39.45%
Step 5 | Loss: 1.09 | Accuracy: 46.09%
Step 5 | Loss: 1.08 | Accuracy: 46.68%
Step 5 | Loss: 1.09 | Accuracy: 42.38%
Step 5 | Loss: 1.09 | Accuracy: 40.23%
Step 5 | Loss: 1.09 | Accuracy: 45.70%
Step 5 | Loss: 1.09 | Accuracy: 41.80%
Step 5 | Loss: 1.08 | Accuracy: 48.44%
Step 5 | Loss: 1.09 | Accuracy: 42.97%
Step 5 | Loss: 1.09 | Accuracy: 44.73%
Step 5 | Loss: 1.08 | Accuracy: 43.95%
Step 5 | Loss: 1.08 | Accuracy: 44.34%
Step 5 | Loss: 1.09 | Accuracy: 41.02%
Step 5 | Loss: 1.09 | Accuracy: 44.14%
Step 5 | Loss: 1.09 | Accuracy: 41.99%
Step 6 | Loss: 1.08 | Accuracy: 44.53%
Step 6 | Loss: 1.11 | Accuracy: 44.14%
Step 6 | Loss: 1.08 | Accuracy: 44.73%
Step 6 | Loss: 1.08 | Accuracy: 46.09%
Step 6 | Loss: 1.08 | Accuracy: 47.85%
Step 6 | Loss: 1.10 | Accuracy: 39.45%
