Step 1 | Loss: 1.08 | Accuracy: 34.96%
Step 2 | Loss: 1.08 | Accuracy: 38.48%
Step 3 | Loss: 1.08 | Accuracy: 42.77%
Step 4 | Loss: 1.23 | Accuracy: 36.72%
Step 5 | Loss: 1.29 | Accuracy: 37.30%
Step 6 | Loss: 1.13 | Accuracy: 33.20%
Step 7 | Loss: 1.15 | Accuracy: 31.05%
Step 8 | Loss: 1.13 | Accuracy: 34.18%
Step 9 | Loss: 1.11 | Accuracy: 32.23%
Step 10 | Loss: 1.10 | Accuracy: 36.52%
Step 11 | Loss: 1.11 | Accuracy: 39.06%
Step 12 | Loss: 1.10 | Accuracy: 39.45%
Step 13 | Loss: 1.10 | Accuracy: 44.34%
Step 14 | Loss: 1.09 | Accuracy: 40.62%
Step 15 | Loss: 1.09 | Accuracy: 40.23%
Step 16 | Loss: 1.10 | Accuracy: 39.26%
Step 17 | Loss: 1.10 | Accuracy: 41.21%
Step 18 | Loss: 1.09 | Accuracy: 39.84%
Step 19 | Loss: 1.09 | Accuracy: 42.97%
Step 20 | Loss: 1.09 | Accuracy: 39.84%
Step 21 | Loss: 1.09 | Accuracy: 45.51%
Step 22 | Loss: 1.09 | Accuracy: 38.09%
Step 23 | Loss: 1.09 | Accuracy: 40.82%
Step 24 | Loss: 1.09 | Accuracy: 41.02%
Step 25 | Loss: 1.09 | Accuracy: 44.14%
Step 26 | Loss: 1.09 | Accuracy: 43.16%
Step 27 | Loss: 1.09 | Accuracy: 41.80%
Step 28 | Loss: 1.09 | Accuracy: 40.23%
Step 29 | Loss: 1.09 | Accuracy: 42.58%
Step 30 | Loss: 1.10 | Accuracy: 44.92%
Step 31 | Loss: 1.09 | Accuracy: 40.43%
Step 32 | Loss: 1.09 | Accuracy: 44.73%
Step 33 | Loss: 1.09 | Accuracy: 41.21%
Step 34 | Loss: 1.09 | Accuracy: 41.02%
Step 35 | Loss: 1.09 | Accuracy: 45.90%
Step 36 | Loss: 1.09 | Accuracy: 41.41%
Step 37 | Loss: 1.09 | Accuracy: 43.75%
Step 38 | Loss: 1.10 | Accuracy: 44.53%
Step 39 | Loss: 1.09 | Accuracy: 47.46%
Step 40 | Loss: 1.08 | Accuracy: 44.34%
Step 41 | Loss: 1.08 | Accuracy: 46.48%
Step 42 | Loss: 1.08 | Accuracy: 46.29%
Step 43 | Loss: 1.08 | Accuracy: 43.36%
Step 44 | Loss: 1.08 | Accuracy: 42.58%
Step 45 | Loss: 1.08 | Accuracy: 44.53%
Step 46 | Loss: 1.09 | Accuracy: 40.82%
Step 47 | Loss: 1.08 | Accuracy: 43.36%
Step 48 | Loss: 1.08 | Accuracy: 45.51%
Step 49 | Loss: 1.08 | Accuracy: 42.19%
Step 50 | Loss: 1.08 | Accuracy: 43.75%
Step 51 | Loss: 1.08 | Accuracy: 44.53%
Step 52 | Loss: 1.08 | Accuracy: 44.53%
Step 53 | Loss: 1.08 | Accuracy: 42.38%
Step 54 | Loss: 1.08 | Accuracy: 43.55%
Step 55 | Loss: 1.08 | Accuracy: 44.34%
Step 56 | Loss: 1.08 | Accuracy: 47.85%
Step 57 | Loss: 1.08 | Accuracy: 42.58%
Step 58 | Loss: 1.10 | Accuracy: 41.41%
Step 59 | Loss: 1.10 | Accuracy: 46.88%
Step 60 | Loss: 1.09 | Accuracy: 43.16%
Step 61 | Loss: 1.10 | Accuracy: 48.63%
Step 62 | Loss: 1.09 | Accuracy: 43.55%
Step 63 | Loss: 1.09 | Accuracy: 44.14%
Step 64 | Loss: 1.08 | Accuracy: 45.12%
Step 65 | Loss: 1.08 | Accuracy: 45.90%
Step 66 | Loss: 1.09 | Accuracy: 45.51%
Step 67 | Loss: 1.08 | Accuracy: 46.09%
Step 68 | Loss: 1.09 | Accuracy: 43.36%
Step 69 | Loss: 1.08 | Accuracy: 44.53%
Step 70 | Loss: 1.09 | Accuracy: 49.61%
Step 71 | Loss: 1.08 | Accuracy: 45.90%
Step 72 | Loss: 1.10 | Accuracy: 47.27%
Step 73 | Loss: 1.07 | Accuracy: 45.31%
Step 74 | Loss: 1.08 | Accuracy: 46.88%
Step 75 | Loss: 1.08 | Accuracy: 49.22%
Step 76 | Loss: 1.07 | Accuracy: 50.78%
Step 77 | Loss: 1.08 | Accuracy: 46.29%
Step 78 | Loss: 1.08 | Accuracy: 42.38%
Step 79 | Loss: 1.08 | Accuracy: 42.97%
Step 80 | Loss: 1.09 | Accuracy: 43.36%
Step 81 | Loss: 1.11 | Accuracy: 43.75%
Step 82 | Loss: 1.09 | Accuracy: 45.70%
Step 83 | Loss: 1.07 | Accuracy: 45.51%
Step 84 | Loss: 1.08 | Accuracy: 47.27%
Step 85 | Loss: 1.08 | Accuracy: 45.51%
Step 86 | Loss: 1.07 | Accuracy: 50.98%
Step 87 | Loss: 1.06 | Accuracy: 49.02%
Step 88 | Loss: 1.08 | Accuracy: 44.34%
Step 89 | Loss: 1.09 | Accuracy: 42.58%
Step 90 | Loss: 1.08 | Accuracy: 49.22%
Step 91 | Loss: 1.10 | Accuracy: 46.48%
Step 92 | Loss: 1.09 | Accuracy: 45.12%
Step 93 | Loss: 1.09 | Accuracy: 47.07%
Step 94 | Loss: 1.08 | Accuracy: 45.12%
Step 95 | Loss: 1.07 | Accuracy: 49.02%
Step 96 | Loss: 1.08 | Accuracy: 44.53%
Step 97 | Loss: 1.08 | Accuracy: 45.90%
Step 98 | Loss: 1.08 | Accuracy: 41.60%
Step 99 | Loss: 1.09 | Accuracy: 47.66%
Step 100 | Loss: 1.07 | Accuracy: 47.27%
Step 101 | Loss: 1.09 | Accuracy: 46.68%
Step 102 | Loss: 1.12 | Accuracy: 45.70%
Step 103 | Loss: 1.10 | Accuracy: 42.58%
Step 104 | Loss: 1.07 | Accuracy: 48.24%
Step 105 | Loss: 1.08 | Accuracy: 45.12%
Step 106 | Loss: 1.07 | Accuracy: 51.95%
Step 107 | Loss: 1.07 | Accuracy: 44.14%
Step 108 | Loss: 1.06 | Accuracy: 46.68%
Step 109 | Loss: 1.08 | Accuracy: 44.73%
Step 110 | Loss: 1.07 | Accuracy: 46.48%
Step 111 | Loss: 1.07 | Accuracy: 51.17%
Step 112 | Loss: 1.07 | Accuracy: 45.90%
Step 113 | Loss: 1.07 | Accuracy: 50.00%
Step 114 | Loss: 1.07 | Accuracy: 46.68%
Step 115 | Loss: 1.07 | Accuracy: 42.58%
Step 116 | Loss: 1.08 | Accuracy: 48.24%
Step 117 | Loss: 1.07 | Accuracy: 49.02%
Step 118 | Loss: 1.09 | Accuracy: 40.23%
Step 119 | Loss: 1.08 | Accuracy: 45.90%
Step 120 | Loss: 1.08 | Accuracy: 48.63%
Step 121 | Loss: 1.08 | Accuracy: 44.73%
Step 122 | Loss: 1.09 | Accuracy: 48.05%
Step 123 | Loss: 1.08 | Accuracy: 43.16%
Step 124 | Loss: 1.08 | Accuracy: 47.85%
Step 125 | Loss: 1.09 | Accuracy: 45.70%
Step 126 | Loss: 1.07 | Accuracy: 50.39%
Step 127 | Loss: 1.07 | Accuracy: 48.44%
Step 128 | Loss: 1.08 | Accuracy: 47.46%
Step 129 | Loss: 1.07 | Accuracy: 43.95%
Step 130 | Loss: 1.09 | Accuracy: 45.51%
Step 131 | Loss: 1.08 | Accuracy: 46.48%
Step 132 | Loss: 1.08 | Accuracy: 41.41%
Step 133 | Loss: 1.08 | Accuracy: 47.27%
Step 134 | Loss: 1.08 | Accuracy: 45.51%
Step 135 | Loss: 1.06 | Accuracy: 49.61%
Step 136 | Loss: 1.06 | Accuracy: 47.46%
Step 137 | Loss: 1.07 | Accuracy: 47.07%
Step 138 | Loss: 1.07 | Accuracy: 48.63%
Step 139 | Loss: 1.08 | Accuracy: 44.53%
Step 140 | Loss: 1.08 | Accuracy: 49.80%
Step 141 | Loss: 1.09 | Accuracy: 43.36%
Step 142 | Loss: 1.07 | Accuracy: 51.76%
Step 143 | Loss: 1.08 | Accuracy: 47.27%
Step 144 | Loss: 1.08 | Accuracy: 46.48%
Step 145 | Loss: 1.07 | Accuracy: 47.46%
Step 146 | Loss: 1.07 | Accuracy: 47.27%
Step 147 | Loss: 1.08 | Accuracy: 46.29%
Step 148 | Loss: 1.09 | Accuracy: 37.70%
Step 149 | Loss: 1.07 | Accuracy: 45.51%
Step 150 | Loss: 1.08 | Accuracy: 47.66%
Step 151 | Loss: 1.08 | Accuracy: 48.63%
Step 152 | Loss: 1.08 | Accuracy: 46.68%
Step 153 | Loss: 1.08 | Accuracy: 49.41%
Step 154 | Loss: 1.06 | Accuracy: 45.31%
Step 155 | Loss: 1.09 | Accuracy: 45.12%
Step 156 | Loss: 1.08 | Accuracy: 43.55%
Step 157 | Loss: 1.08 | Accuracy: 44.34%
Step 158 | Loss: 1.08 | Accuracy: 43.95%
Step 159 | Loss: 1.10 | Accuracy: 42.97%
Step 160 | Loss: 1.09 | Accuracy: 42.77%
Step 161 | Loss: 1.09 | Accuracy: 42.58%
Step 162 | Loss: 1.08 | Accuracy: 47.07%
Step 163 | Loss: 1.09 | Accuracy: 41.99%
Step 164 | Loss: 1.08 | Accuracy: 46.48%
Step 165 | Loss: 1.08 | Accuracy: 43.75%
Step 166 | Loss: 1.06 | Accuracy: 47.46%
Step 167 | Loss: 1.09 | Accuracy: 44.53%
Step 168 | Loss: 1.08 | Accuracy: 48.83%
Step 169 | Loss: 1.09 | Accuracy: 44.34%
Step 170 | Loss: 1.07 | Accuracy: 50.20%
Step 171 | Loss: 1.08 | Accuracy: 45.70%
Step 172 | Loss: 1.08 | Accuracy: 43.95%
Step 173 | Loss: 1.09 | Accuracy: 47.07%
Step 174 | Loss: 1.09 | Accuracy: 43.36%
Step 175 | Loss: 1.08 | Accuracy: 44.14%
Step 176 | Loss: 1.08 | Accuracy: 47.66%
Step 177 | Loss: 1.07 | Accuracy: 50.00%
Step 178 | Loss: 1.09 | Accuracy: 45.51%
Step 179 | Loss: 1.08 | Accuracy: 47.66%
Step 180 | Loss: 1.08 | Accuracy: 43.36%
Step 181 | Loss: 1.08 | Accuracy: 44.92%
Step 182 | Loss: 1.07 | Accuracy: 47.07%
Step 183 | Loss: 1.07 | Accuracy: 44.34%
Step 184 | Loss: 1.08 | Accuracy: 47.46%
Step 185 | Loss: 1.07 | Accuracy: 48.24%
Step 186 | Loss: 1.07 | Accuracy: 50.78%
Step 187 | Loss: 1.09 | Accuracy: 45.51%
Step 188 | Loss: 1.06 | Accuracy: 46.09%
Step 189 | Loss: 1.08 | Accuracy: 49.02%
Step 190 | Loss: 1.08 | Accuracy: 46.29%
Step 191 | Loss: 1.08 | Accuracy: 50.39%
Step 192 | Loss: 1.07 | Accuracy: 50.39%
Step 193 | Loss: 1.08 | Accuracy: 47.66%
Step 194 | Loss: 1.09 | Accuracy: 47.85%
Step 195 | Loss: 1.08 | Accuracy: 45.51%
Step 196 | Loss: 1.08 | Accuracy: 48.24%
Step 197 | Loss: 1.07 | Accuracy: 52.15%
Step 198 | Loss: 1.08 | Accuracy: 43.55%
Step 199 | Loss: 1.06 | Accuracy: 47.07%
Step 200 | Loss: 1.07 | Accuracy: 53.12%
Step 201 | Loss: 1.07 | Accuracy: 47.07%
Step 202 | Loss: 1.08 | Accuracy: 47.07%
Step 203 | Loss: 1.07 | Accuracy: 50.20%
Step 204 | Loss: 1.06 | Accuracy: 49.41%
Step 205 | Loss: 1.08 | Accuracy: 44.53%
Step 206 | Loss: 1.08 | Accuracy: 47.66%
Step 207 | Loss: 1.09 | Accuracy: 47.85%
Step 208 | Loss: 1.08 | Accuracy: 43.75%
Step 209 | Loss: 1.07 | Accuracy: 48.05%
Step 210 | Loss: 1.08 | Accuracy: 50.98%
Step 211 | Loss: 1.09 | Accuracy: 45.12%
Step 212 | Loss: 1.08 | Accuracy: 49.41%
Step 213 | Loss: 1.08 | Accuracy: 49.02%
Step 214 | Loss: 1.08 | Accuracy: 47.07%
Step 215 | Loss: 1.08 | Accuracy: 45.90%
Step 216 | Loss: 1.07 | Accuracy: 50.20%
Step 217 | Loss: 1.08 | Accuracy: 47.85%
Step 218 | Loss: 1.06 | Accuracy: 48.63%
Step 219 | Loss: 1.07 | Accuracy: 50.59%
Step 220 | Loss: 1.07 | Accuracy: 47.85%
Step 221 | Loss: 1.07 | Accuracy: 45.31%
Step 222 | Loss: 1.08 | Accuracy: 47.27%
Step 223 | Loss: 1.08 | Accuracy: 45.70%
Step 224 | Loss: 1.07 | Accuracy: 50.00%
Step 225 | Loss: 1.08 | Accuracy: 47.85%
Step 226 | Loss: 1.08 | Accuracy: 45.12%
Step 227 | Loss: 1.08 | Accuracy: 47.27%
Step 228 | Loss: 1.07 | Accuracy: 46.68%
Step 229 | Loss: 1.07 | Accuracy: 50.20%
Step 230 | Loss: 1.07 | Accuracy: 47.66%
Step 231 | Loss: 1.08 | Accuracy: 50.00%
Step 232 | Loss: 1.06 | Accuracy: 48.24%
Step 233 | Loss: 1.08 | Accuracy: 50.59%
Step 234 | Loss: 1.08 | Accuracy: 50.00%
Step 235 | Loss: 1.08 | Accuracy: 48.44%
Step 236 | Loss: 1.08 | Accuracy: 45.51%
Step 237 | Loss: 1.06 | Accuracy: 48.63%
Step 238 | Loss: 1.09 | Accuracy: 44.92%
Step 239 | Loss: 1.09 | Accuracy: 46.48%
Step 240 | Loss: 1.08 | Accuracy: 44.73%
Step 241 | Loss: 1.07 | Accuracy: 43.55%
Step 242 | Loss: 1.08 | Accuracy: 50.20%
Step 243 | Loss: 1.07 | Accuracy: 48.05%
Step 244 | Loss: 1.07 | Accuracy: 45.51%
Step 245 | Loss: 1.08 | Accuracy: 48.05%
Step 246 | Loss: 1.08 | Accuracy: 45.12%
Step 247 | Loss: 1.08 | Accuracy: 46.68%
Step 248 | Loss: 1.07 | Accuracy: 49.80%
Step 249 | Loss: 1.07 | Accuracy: 47.27%
Step 250 | Loss: 1.08 | Accuracy: 44.92%
Step 251 | Loss: 1.07 | Accuracy: 45.51%
Step 252 | Loss: 1.06 | Accuracy: 52.15%
Step 253 | Loss: 1.07 | Accuracy: 48.05%
Step 254 | Loss: 1.09 | Accuracy: 42.97%
Step 255 | Loss: 1.08 | Accuracy: 49.61%
Step 256 | Loss: 1.09 | Accuracy: 47.85%
Step 257 | Loss: 1.08 | Accuracy: 43.55%
Step 258 | Loss: 1.08 | Accuracy: 48.83%
Step 259 | Loss: 1.08 | Accuracy: 47.46%
Step 260 | Loss: 1.08 | Accuracy: 47.07%
Step 261 | Loss: 1.08 | Accuracy: 44.14%
Step 262 | Loss: 1.08 | Accuracy: 49.41%
Step 263 | Loss: 1.07 | Accuracy: 47.66%
Step 264 | Loss: 1.07 | Accuracy: 49.22%
Step 265 | Loss: 1.07 | Accuracy: 45.90%
Step 266 | Loss: 1.07 | Accuracy: 45.51%
Step 267 | Loss: 1.08 | Accuracy: 44.92%
Step 268 | Loss: 1.08 | Accuracy: 45.70%
Step 269 | Loss: 1.09 | Accuracy: 47.85%
Step 270 | Loss: 1.06 | Accuracy: 49.61%
Step 271 | Loss: 1.08 | Accuracy: 48.83%
Step 272 | Loss: 1.07 | Accuracy: 47.07%
Step 273 | Loss: 1.07 | Accuracy: 45.51%
Step 274 | Loss: 1.07 | Accuracy: 49.80%
Step 275 | Loss: 1.07 | Accuracy: 46.48%
Step 276 | Loss: 1.07 | Accuracy: 51.56%
Step 277 | Loss: 1.08 | Accuracy: 46.68%
Step 278 | Loss: 1.07 | Accuracy: 46.48%
Step 279 | Loss: 1.07 | Accuracy: 45.12%
Step 280 | Loss: 1.07 | Accuracy: 49.61%
Step 281 | Loss: 1.08 | Accuracy: 44.73%
Step 282 | Loss: 1.09 | Accuracy: 50.00%
Step 283 | Loss: 1.07 | Accuracy: 46.88%
Step 284 | Loss: 1.09 | Accuracy: 46.29%
Step 285 | Loss: 1.08 | Accuracy: 48.63%
Step 286 | Loss: 1.09 | Accuracy: 46.48%
Step 287 | Loss: 1.07 | Accuracy: 44.34%
Step 288 | Loss: 1.08 | Accuracy: 47.66%
Step 289 | Loss: 1.08 | Accuracy: 48.83%
Step 290 | Loss: 1.08 | Accuracy: 52.34%
Step 291 | Loss: 1.06 | Accuracy: 48.24%
Step 292 | Loss: 1.07 | Accuracy: 46.88%
Step 293 | Loss: 1.07 | Accuracy: 48.44%
Step 294 | Loss: 1.07 | Accuracy: 50.78%
Step 295 | Loss: 1.07 | Accuracy: 51.17%
Step 296 | Loss: 1.09 | Accuracy: 46.68%
Step 297 | Loss: 1.07 | Accuracy: 47.46%
Step 298 | Loss: 1.07 | Accuracy: 49.22%
Step 299 | Loss: 1.07 | Accuracy: 46.88%
Step 300 | Loss: 1.09 | Accuracy: 49.41%
Step 301 | Loss: 1.07 | Accuracy: 51.17%
Step 302 | Loss: 1.09 | Accuracy: 41.99%
Step 303 | Loss: 1.08 | Accuracy: 46.29%
Step 304 | Loss: 1.08 | Accuracy: 50.00%
Step 305 | Loss: 1.07 | Accuracy: 48.44%
Step 306 | Loss: 1.07 | Accuracy: 45.51%
Step 307 | Loss: 1.07 | Accuracy: 43.75%
Step 308 | Loss: 1.07 | Accuracy: 48.44%
Step 309 | Loss: 1.08 | Accuracy: 48.24%
Step 310 | Loss: 1.07 | Accuracy: 48.83%
Step 311 | Loss: 1.07 | Accuracy: 55.27%
Step 312 | Loss: 1.08 | Accuracy: 49.41%
Step 313 | Loss: 1.06 | Accuracy: 52.73%
Step 314 | Loss: 1.07 | Accuracy: 45.70%
Step 315 | Loss: 1.07 | Accuracy: 50.39%
Step 316 | Loss: 1.06 | Accuracy: 52.15%
Step 317 | Loss: 1.06 | Accuracy: 48.83%
Step 318 | Loss: 1.07 | Accuracy: 49.02%
Step 319 | Loss: 1.07 | Accuracy: 48.44%
Step 320 | Loss: 1.07 | Accuracy: 45.70%
Step 321 | Loss: 1.07 | Accuracy: 47.85%
Step 322 | Loss: 1.07 | Accuracy: 49.22%
Step 323 | Loss: 1.07 | Accuracy: 49.61%
Step 324 | Loss: 1.07 | Accuracy: 46.29%
Step 325 | Loss: 1.08 | Accuracy: 52.93%
Step 326 | Loss: 1.08 | Accuracy: 45.51%
Step 327 | Loss: 1.07 | Accuracy: 51.76%
Step 328 | Loss: 1.07 | Accuracy: 49.80%
Step 329 | Loss: 1.07 | Accuracy: 49.22%
Step 330 | Loss: 1.08 | Accuracy: 48.24%
Step 331 | Loss: 1.07 | Accuracy: 46.09%
Step 332 | Loss: 1.07 | Accuracy: 47.85%
Step 333 | Loss: 1.08 | Accuracy: 49.02%
Step 334 | Loss: 1.09 | Accuracy: 46.68%
Step 335 | Loss: 1.07 | Accuracy: 50.00%
Step 336 | Loss: 1.08 | Accuracy: 46.68%
Step 337 | Loss: 1.06 | Accuracy: 52.54%
Step 338 | Loss: 1.07 | Accuracy: 50.00%
Step 339 | Loss: 1.07 | Accuracy: 47.27%
Step 340 | Loss: 1.09 | Accuracy: 47.66%
Step 341 | Loss: 1.09 | Accuracy: 50.39%
Step 342 | Loss: 1.07 | Accuracy: 46.29%
Step 343 | Loss: 1.06 | Accuracy: 49.80%
Step 344 | Loss: 1.06 | Accuracy: 52.34%
Step 345 | Loss: 1.07 | Accuracy: 51.56%
Step 346 | Loss: 1.09 | Accuracy: 48.24%
Step 347 | Loss: 1.07 | Accuracy: 46.48%
Step 348 | Loss: 1.08 | Accuracy: 45.70%
Step 349 | Loss: 1.07 | Accuracy: 49.02%
Step 350 | Loss: 1.06 | Accuracy: 48.63%
Step 351 | Loss: 1.07 | Accuracy: 47.85%
Step 352 | Loss: 1.06 | Accuracy: 48.44%
Step 353 | Loss: 1.07 | Accuracy: 50.98%
Step 354 | Loss: 1.09 | Accuracy: 47.66%
Step 355 | Loss: 1.09 | Accuracy: 50.78%
Step 356 | Loss: 1.06 | Accuracy: 54.49%
Step 357 | Loss: 1.07 | Accuracy: 48.05%
Step 358 | Loss: 1.07 | Accuracy: 47.85%
Step 359 | Loss: 1.07 | Accuracy: 47.46%
Step 360 | Loss: 1.08 | Accuracy: 46.68%
Step 361 | Loss: 1.09 | Accuracy: 49.80%
Step 362 | Loss: 1.09 | Accuracy: 46.88%
