Epoch 0 | Step 0 | Loss: 0.1701 | Accuracy: 64.00%
Epoch 0 | Step 0 | Loss: 0.1747 | Accuracy: 56.00%
Epoch 0 | Step 0 | Loss: 0.1798 | Accuracy: 44.00%
Epoch 0 | Step 0 | Loss: 0.1811 | Accuracy: 44.00%
Epoch 0 | Step 0 | Loss: 0.1740 | Accuracy: 56.00%
Epoch 0 | Step 1 | Loss: 0.1734 | Accuracy: 48.00%
Epoch 0 | Step 1 | Loss: 0.1687 | Accuracy: 68.00%
Epoch 0 | Step 1 | Loss: 0.1808 | Accuracy: 56.00%
Epoch 0 | Step 1 | Loss: 0.1702 | Accuracy: 56.00%
Epoch 0 | Step 1 | Loss: 0.1740 | Accuracy: 40.00%
Epoch 0 | Step 1 | Loss: 0.1723 | Accuracy: 60.00%
Epoch 0 | Step 2 | Loss: 0.1774 | Accuracy: 40.00%
Epoch 0 | Step 2 | Loss: 0.1797 | Accuracy: 28.00%
Epoch 0 | Step 2 | Loss: 0.1780 | Accuracy: 52.00%
Epoch 0 | Step 2 | Loss: 0.1764 | Accuracy: 56.00%
Epoch 0 | Step 2 | Loss: 0.1767 | Accuracy: 64.00%
Epoch 0 | Step 2 | Loss: 0.1769 | Accuracy: 40.00%
Epoch 0 | Step 3 | Loss: 0.1790 | Accuracy: 40.00%
Epoch 0 | Step 3 | Loss: 0.1789 | Accuracy: 60.00%
Epoch 0 | Step 3 | Loss: 0.1627 | Accuracy: 60.00%
Epoch 0 | Step 3 | Loss: 0.1858 | Accuracy: 36.00%
Epoch 0 | Step 3 | Loss: 0.2100 | Accuracy: 56.00%
Epoch 0 | Step 3 | Loss: 0.1771 | Accuracy: 40.00%
Epoch 0 | Step 4 | Loss: 0.1820 | Accuracy: 56.00%
Epoch 0 | Step 4 | Loss: 0.2021 | Accuracy: 48.00%
Epoch 0 | Step 4 | Loss: 0.1722 | Accuracy: 40.00%
Epoch 0 | Step 4 | Loss: 0.1768 | Accuracy: 52.00%
Epoch 0 | Step 4 | Loss: 0.1836 | Accuracy: 56.00%
Epoch 0 | Step 4 | Loss: 0.1906 | Accuracy: 44.00%
Epoch 0 | Step 5 | Loss: 0.1695 | Accuracy: 68.00%
Epoch 0 | Step 5 | Loss: 0.2115 | Accuracy: 40.00%
